epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.417,0.90846,1.27262,0.941,0.93552,0.93559,0.9346,0.82599,0.5321,0.84913,0.82861,0.00062,0.00062,0.00062
2,37.1098,0.69269,0.54725,0.86816,0.94284,0.93918,0.93745,0.80516,0.55049,0.67104,0.81707,0.00123505,0.00123505,0.00123505
